project_id,project_name,sector,ministry,implementing_agency,contractor_name,state,original_cost_crore,revised_cost_crore,cost_overrun_pct,has_cost_overrun,start_date,planned_duration_months,actual_duration_months,planned_completion_date,expected_actual_completion_date,delay_months,is_delayed,physical_progress_pct,expenditure_pct,expenditure_crore,fund_utilization_pct,milestones_total,milestones_completed,delay_reasons,status,risk_score,risk_label
PRJ00011,Maharashtra Inland Waterways Infra Development Phase-11,Inland Waterways,"Ministry of Ports, Shipping & Waterways",SAIL,Shapoorji Pallonji Infra,Maharashtra,887.23,3350.64,277.65,True,2020-02-13,48,89,2024-01-23,2027-06-06,41,True,70.6,69.0,2313.47,100.0,10,7,Law and order problems; Monsoon/weather delays,Delayed,100.0,High
PRJ00012,Maharashtra Irrigation Infra Development Phase-12,Irrigation,Ministry of Jal Shakti,ONGC,Larsen & Toubro Infra,Maharashtra,2141.89,2121.78,0.0,False,2019-12-30,36,50,2022-12-14,2024-02-07,14,True,73.1,77.6,1647.18,76.9,4,3,Shortage of skilled manpower,Delayed,17.3,Low
PRJ00013,Maharashtra Power Infra Development Phase-13,Power,Ministry of Power,State Irrigation Dept,Gammon India,Maharashtra,3897.6,1165.16,0.0,False,2021-04-04,60,60,2026-03-09,2026-03-09,0,False,100.0,64.1,747.34,19.2,8,8,None,Completed,5.2,Low
PRJ00014,Maharashtra Fertilizers Infra Development Phase-14,Fertilizers,Ministry of Chemicals & Fertilizers,ABC Infrastructure Ltd.,PNC Infratech,Maharashtra,1542.84,3685.26,138.86,True,2019-06-19,60,83,2024-05-23,2026-04-13,23,True,78.1,85.2,3141.38,100.0,8,6,Shortage of skilled manpower,Delayed,100.0,High
PRJ00015,Maharashtra Railways Infra Development Phase-15,Railways,Ministry of Railways,IRCTC,Tata Projects,Maharashtra,1248.31,1950.98,56.29,True,2021-07-02,24,47,2023-06-22,2025-05-12,23,True,83.8,47.0,917.75,73.5,8,7,Geological surprises,Delayed,63.9,High
PRJ00016,Maharashtra Healthcare Infrastructure Infra Development Phase-16,Healthcare Infrastructure,Ministry of Health & Family Welfare,ABC Infrastructure Ltd.,Afcons Infrastructure,Maharashtra,1900.93,2725.19,43.36,True,2020-07-12,24,69,2022-07-02,2026-03-13,45,True,81.0,36.6,997.04,52.5,6,5,Price escalation of raw materials; COVID-19 related disruption,Delayed,70.4,High
PRJ00017,Maharashtra Fertilizers Infra Development Phase-17,Fertilizers,Ministry of Chemicals & Fertilizers,State Irrigation Dept,IRB Infrastructure,Maharashtra,1200.55,1481.45,23.4,True,2018-08-09,60,75,2023-07-14,2024-10-06,15,True,74.0,54.6,809.28,67.4,8,6,Shortage of skilled manpower,Delayed,32.0,Medium
PRJ00018,Maharashtra Postal Infrastructure Infra Development Phase-18,Postal Infrastructure,Ministry of Communications,NHPC,J Kumar Infraprojects,Maharashtra,1478.47,2474.76,67.39,True,2019-12-13,48,59,2023-11-22,2024-10-17,11,True,91.8,35.1,867.62,58.7,12,11,Price escalation of raw materials; Law and order problems,Delayed,60.0,High
PRJ00019,Maharashtra Petroleum & Natural Gas Infra Development Phase-19,Petroleum & Natural Gas,Ministry of Petroleum & Natural Gas,PowerGrid,Afcons Infrastructure,Maharashtra,1762.79,1540.43,0.0,False,2022-09-19,24,33,2024-09-08,2025-06-05,9,True,88.0,40.4,622.13,35.3,10,9,Forest/environment clearance delay,Delayed,11.6,Low
PRJ00020,Maharashtra Inland Waterways Infra Development Phase-20,Inland Waterways,"Ministry of Ports, Shipping & Waterways",PowerGrid,Larsen & Toubro Infra,Maharashtra,856.84,1578.52,84.23,True,2018-10-18,60,92,2023-09-22,2026-05-09,32,True,79.4,47.8,754.1,88.0,10,8,Price escalation of raw materials,Delayed,86.9,High
PRJ00021,Maharashtra Water Resources Infra Development Phase-21,Water Resources,Ministry of Jal Shakti,Deendayal Port Trust,Larsen & Toubro Infra,Maharashtra,2831.48,2456.16,0.0,False,2022-04-02,72,96,2028-03-01,2030-02-19,24,True,44.7,80.5,1976.5,69.8,12,5,Land acquisition delay; Utility shifting delay,Delayed,26.8,Medium
PRJ00022,Maharashtra Inland Waterways Infra Development Phase-22,Inland Waterways,"Ministry of Ports, Shipping & Waterways",IFFCO,Shapoorji Pallonji Infra,Maharashtra,752.25,747.2,0.0,False,2019-12-29,48,48,2023-12-08,2023-12-08,0,False,86.0,100.0,1747.15,100.0,8,7,None,On Track,6.6,Low
PRJ00023,Maharashtra Inland Waterways Infra Development Phase-23,Inland Waterways,"Ministry of Ports, Shipping & Waterways",RITES,Simplex Infrastructures,Maharashtra,688.29,773.9,12.44,True,2021-11-16,60,99,2026-10-21,2030-01-03,39,True,38.0,21.9,169.86,24.7,6,2,Land acquisition delay; Court cases/litigation,Delayed,56.4,High
PRJ00024,Maharashtra Coal Infra Development Phase-24,Coal,Ministry of Coal,HUDCO,GR Infraprojects,Maharashtra,2000.44,1328.43,0.0,False,2019-01-02,72,72,2024-12-01,2024-12-01,0,False,100.0,24.1,320.46,16.0,12,12,None,Completed,0.0,Low
PRJ00025,Maharashtra Inland Waterways Infra Development Phase-25,Inland Waterways,"Ministry of Ports, Shipping & Waterways",NMDC,Shapoorji Pallonji Infra,Maharashtra,2708.48,1870.34,0.0,False,2020-05-07,48,48,2024-04-16,2024-04-16,0,False,96.6,28.2,527.0,19.5,12,12,None,On Track,2.6,Low
PRJ00026,Maharashtra Education Infrastructure Infra Development Phase-26,Education Infrastructure,Ministry of Education,ONGC,NCC Limited,Maharashtra,1970.57,3468.57,76.02,True,2018-09-19,48,81,2022-08-29,2025-05-15,33,True,74.5,43.1,1495.54,75.9,8,6,Land acquisition delay,Delayed,84.8,High
PRJ00027,Maharashtra Education Infrastructure Infra Development Phase-27,Education Infrastructure,Ministry of Education,IRCTC,Larsen & Toubro Infra,Maharashtra,1654.51,1935.15,16.96,True,2022-06-25,96,136,2030-05-14,2033-08-26,40,True,30.8,91.4,1768.97,100.0,4,1,Court cases/litigation,Delayed,48.2,Medium
PRJ00028,Maharashtra Steel Infra Development Phase-28,Steel,Ministry of Steel,Coal India Ltd,Simplex Infrastructures,Maharashtra,1469.43,2113.63,43.84,True,2017-08-26,48,90,2021-08-05,2025-01-16,42,True,79.0,63.3,1336.94,91.0,6,5,Funding constraints,Delayed,65.0,High
PRJ00029,Maharashtra Housing Infra Development Phase-29,Housing,Ministry of Housing & Urban Affairs,RVNL,GR Infraprojects,Maharashtra,1321.72,1781.71,34.8,True,2022-12-22,36,64,2025-12-06,2028-03-25,28,True,58.7,22.6,403.41,30.5,6,4,Monsoon/weather delays,Delayed,56.3,High
PRJ00030,Maharashtra Postal Infrastructure Infra Development Phase-30,Postal Infrastructure,Ministry of Communications,GAIL,Shapoorji Pallonji Infra,Maharashtra,3194.22,2588.69,0.0,False,2019-12-22,72,120,2025-11-20,2029-10-30,48,True,48.3,24.3,630.27,19.7,12,6,Geological surprises; COVID-19 related disruption,Delayed,43.8,Medium
PRJ00031,Maharashtra Postal Infrastructure Infra Development Phase-31,Postal Infrastructure,Ministry of Communications,ABC Infrastructure Ltd.,Larsen & Toubro Infra,Maharashtra,2154.04,1227.4,0.0,False,2019-04-04,84,84,2026-02-26,2026-02-26,0,False,93.3,96.0,1177.93,54.7,8,7,None,On Track,10.0,Low
PRJ00032,Maharashtra Water Resources Infra Development Phase-32,Water Resources,Ministry of Jal Shakti,IFFCO,Larsen & Toubro Infra,Maharashtra,1390.38,1998.53,43.74,True,2021-03-10,48,59,2025-02-17,2026-01-13,11,True,85.4,38.1,761.26,54.8,10,9,Change in project scope; Monsoon/weather delays,Delayed,40.9,Medium
PRJ00033,Maharashtra Petroleum & Natural Gas Infra Development Phase-33,Petroleum & Natural Gas,Ministry of Petroleum & Natural Gas,RVNL,Dilip Buildcon Ltd,Maharashtra,1137.76,2707.96,138.01,True,2020-10-16,36,59,2023-10-01,2025-08-21,23,True,79.5,25.7,697.21,61.3,4,3,Shortage of skilled manpower,Delayed,100.0,High
PRJ00034,Maharashtra Roads & Highways Infra Development Phase-34,Roads & Highways,Ministry of Road Transport & Highways,RVNL,GMR Infrastructure,Maharashtra,2529.81,2444.76,0.0,False,2017-08-30,72,72,2023-07-30,2023-07-30,0,False,96.2,28.8,703.64,27.8,6,6,None,On Track,7.2,Low
PRJ00035,Maharashtra Ports & Shipping Infra Development Phase-35,Ports & Shipping,"Ministry of Ports, Shipping & Waterways",IRCON,Simplex Infrastructures,Maharashtra,3152.37,2154.3,0.0,False,2020-09-15,60,60,2025-08-20,2025-08-20,0,False,85.9,77.7,1674.19,53.1,4,3,None,On Track,2.4,Low
PRJ00036,Maharashtra Telecommunications Infra Development Phase-36,Telecommunications,Ministry of Communications,Coal India Ltd,Larsen & Toubro Infra,Maharashtra,2996.0,2170.02,0.0,False,2020-02-15,24,41,2022-02-04,2023-06-29,17,True,87.2,57.5,1247.27,41.6,10,9,Contractual issues,Delayed,19.1,Low
PRJ00037,Maharashtra Healthcare Infrastructure Infra Development Phase-37,Healthcare Infrastructure,Ministry of Health & Family Welfare,IWAI,Shapoorji Pallonji Infra,Maharashtra,1011.53,2858.22,182.56,True,2022-04-21,48,94,2026-03-31,2030-01-09,46,True,36.0,25.5,727.83,72.0,6,2,Poor contractor mobilization; Change in project scope,Delayed,100.0,High
PRJ00038,Maharashtra Inland Waterways Infra Development Phase-38,Inland Waterways,"Ministry of Ports, Shipping & Waterways",NTPC,GMR Infrastructure,Maharashtra,1461.67,6376.92,336.28,True,2021-11-01,48,89,2025-10-11,2029-02-22,41,True,44.4,16.8,1074.08,73.5,8,4,Poor contractor mobilization; Shortage of skilled manpower,Delayed,100.0,High
PRJ00039,Maharashtra Railways Infra Development Phase-39,Railways,Ministry of Railways,IFFCO,Larsen & Toubro Infra,Maharashtra,1305.23,1282.36,0.0,False,2018-02-08,48,48,2022-01-18,2022-01-18,0,False,90.0,28.5,365.48,28.0,4,4,None,On Track,4.4,Low
PRJ00040,Maharashtra Water Resources Infra Development Phase-40,Water Resources,Ministry of Jal Shakti,IRCTC,Afcons Infrastructure,Maharashtra,1582.92,6476.78,309.17,True,2018-03-24,72,97,2024-02-21,2026-03-12,25,True,76.4,9.7,631.04,39.9,6,5,Geological surprises,Delayed,100.0,High
PRJ00041,Maharashtra Postal Infrastructure Infra Development Phase-41,Postal Infrastructure,Ministry of Communications,State Irrigation Dept,KNR Constructions,Maharashtra,2816.63,1244.6,0.0,False,2018-07-29,96,96,2026-06-17,2026-06-17,0,False,83.2,100.0,1584.39,56.3,10,8,None,On Track,7.2,Low
PRJ00042,Maharashtra Power Infra Development Phase-42,Power,Ministry of Power,NBCC,Simplex Infrastructures,Maharashtra,3700.03,388.57,0.0,False,2022-03-10,72,100,2028-02-07,2030-05-27,28,True,43.1,72.3,281.13,7.6,6,3,COVID-19 related disruption,Delayed,31.6,Medium
PRJ00043,Maharashtra Postal Infrastructure Infra Development Phase-43,Postal Infrastructure,Ministry of Communications,NTPC,KNR Constructions,Maharashtra,2200.84,1520.72,0.0,False,2017-07-27,36,36,2020-07-11,2020-07-11,0,False,94.8,82.6,1256.09,57.1,12,11,None,On Track,1.1,Low
PRJ00044,Maharashtra Roads & Highways Infra Development Phase-44,Roads & Highways,Ministry of Road Transport & Highways,RVNL,KNR Constructions,Maharashtra,1163.66,2617.1,124.9,True,2019-08-27,96,105,2027-07-16,2028-04-11,9,True,59.6,6.4,168.32,14.5,6,4,Monsoon/weather delays; Shortage of skilled manpower,Delayed,100.0,High
PRJ00045,Maharashtra Renewable Energy Infra Development Phase-45,Renewable Energy,Ministry of New & Renewable Energy,SAIL,Simplex Infrastructures,Maharashtra,1738.73,5654.59,225.21,True,2017-08-29,96,112,2025-07-18,2026-11-10,16,True,83.6,38.2,2160.14,100.0,6,5,Land acquisition delay; Geological surprises,Delayed,100.0,High
PRJ00046,Maharashtra Coal Infra Development Phase-46,Coal,Ministry of Coal,State Irrigation Dept,Simplex Infrastructures,Maharashtra,4082.31,1164.15,0.0,False,2020-03-14,48,48,2024-02-22,2024-02-22,0,False,100.0,53.4,621.49,15.2,10,10,None,Completed,5.6,Low
PRJ00047,Maharashtra Postal Infrastructure Infra Development Phase-47,Postal Infrastructure,Ministry of Communications,IFFCO,HCC (Hindustan Construction),Maharashtra,1873.88,2848.57,52.01,True,2022-06-17,72,116,2028-05-16,2031-12-27,44,True,31.0,39.3,1119.74,59.8,6,2,Rehabilitation & resettlement issues,Delayed,80.5,High
PRJ00048,Maharashtra Renewable Energy Infra Development Phase-48,Renewable Energy,Ministry of New & Renewable Energy,IRCON,Shapoorji Pallonji Infra,Maharashtra,1471.44,833.37,0.0,False,2017-09-07,60,60,2022-08-12,2022-08-12,0,False,100.0,100.0,948.63,64.5,8,8,None,Completed,4.6,Low
PRJ00049,Maharashtra Railways Infra Development Phase-49,Railways,Ministry of Railways,IRCON,GR Infraprojects,Maharashtra,1548.9,5543.37,257.89,True,2022-05-07,60,82,2027-04-11,2029-01-30,22,True,46.2,17.5,969.26,62.6,12,6,Forest/environment clearance delay,Delayed,100.0,High
PRJ00050,Maharashtra Telecommunications Infra Development Phase-50,Telecommunications,Ministry of Communications,RVNL,Shapoorji Pallonji Infra,Maharashtra,2195.16,4083.34,86.02,True,2019-02-01,36,65,2022-01-16,2024-06-04,29,True,84.7,26.0,1062.82,48.4,4,3,Shortage of skilled manpower,Delayed,87.4,High
PRJ00051,Maharashtra Water Resources Infra Development Phase-51,Water Resources,Ministry of Jal Shakti,NTPC,Larsen & Toubro Infra,Maharashtra,1034.67,1580.51,52.75,True,2019-10-06,60,65,2024-09-09,2025-02-06,5,True,81.6,15.4,244.14,23.6,12,10,Funding constraints,Delayed,49.9,Medium
PRJ00052,Maharashtra Water Supply & Sanitation Infra Development Phase-52,Water Supply & Sanitation,Ministry of Jal Shakti,IFFCO,GMR Infrastructure,Maharashtra,1285.33,4445.07,245.83,True,2022-11-12,48,80,2026-10-22,2029-06-08,32,True,40.4,22.1,981.15,76.3,8,3,Geological surprises; Utility shifting delay,Delayed,100.0,High
PRJ00053,Maharashtra Mining Infra Development Phase-53,Mining,Ministry of Mines,Coal India Ltd,Shapoorji Pallonji Infra,Maharashtra,2971.59,1991.3,0.0,False,2019-12-24,48,48,2023-12-03,2023-12-03,0,False,98.3,39.6,789.22,26.6,10,10,None,Completed,7.8,Low
PRJ00054,Maharashtra Civil Aviation Infra Development Phase-54,Civil Aviation,Ministry of Civil Aviation,IFFCO,HCC (Hindustan Construction),Maharashtra,2159.82,4202.13,94.56,True,2020-05-13,60,106,2025-04-17,2029-01-26,46,True,47.6,14.8,623.7,28.9,10,5,Funding constraints; Land acquisition delay,Delayed,100.0,High
PRJ00055,Maharashtra Urban Development Infra Development Phase-55,Urban Development,Ministry of Housing & Urban Affairs,Deendayal Port Trust,Larsen & Toubro Infra,Maharashtra,1885.21,2144.64,13.76,True,2018-02-14,24,74,2020-02-04,2024-03-14,50,True,71.8,24.6,526.81,27.9,4,3,Delay in tendering/equipment supply,Delayed,54.9,High
PRJ00056,Maharashtra Civil Aviation Infra Development Phase-56,Civil Aviation,Ministry of Civil Aviation,AAI,Shapoorji Pallonji Infra,Maharashtra,3053.97,2199.86,0.0,False,2017-10-09,36,36,2020-09-23,2020-09-23,0,False,89.9,45.3,995.72,32.6,6,5,None,On Track,7.0,Low
PRJ00057,Maharashtra Irrigation Infra Development Phase-57,Irrigation,Ministry of Jal Shakti,RITES,Larsen & Toubro Infra,Maharashtra,1117.56,1601.05,43.26,True,2018-10-09,60,109,2023-09-13,2027-09-22,49,True,64.9,28.3,453.74,40.6,10,6,Land acquisition delay; Utility shifting delay,Delayed,76.5,High
PRJ00058,Maharashtra Postal Infrastructure Infra Development Phase-58,Postal Infrastructure,Ministry of Communications,RITES,Shapoorji Pallonji Infra,Maharashtra,1444.12,3061.21,111.98,True,2018-03-01,60,81,2023-02-03,2024-10-25,21,True,80.0,51.2,1568.58,100.0,6,5,Change in project scope; COVID-19 related disruption,Delayed,100.0,High
PRJ00059,Maharashtra Inland Waterways Infra Development Phase-59,Inland Waterways,"Ministry of Ports, Shipping & Waterways",NHPC,J Kumar Infraprojects,Maharashtra,2119.63,2299.15,8.47,True,2018-09-29,72,105,2024-08-28,2027-05-15,33,True,64.9,50.8,1166.96,55.1,8,5,Geological surprises; Court cases/litigation,Delayed,35.6,Medium
PRJ00060,Maharashtra Mining Infra Development Phase-60,Mining,Ministry of Mines,ONGC,GMR Infrastructure,Maharashtra,2077.0,2884.42,38.87,True,2019-12-18,60,105,2024-11-21,2028-08-02,45,True,54.4,35.8,1031.43,49.7,12,7,Delay in tendering/equipment supply; COVID-19 related disruption,Delayed,71.4,High
PRJ00061,Maharashtra Railways Infra Development Phase-61,Railways,Ministry of Railways,RVNL,Ashoka Buildcon,Maharashtra,639.1,692.7,8.39,True,2021-10-01,48,58,2025-09-10,2026-07-07,10,True,85.4,100.0,1531.98,100.0,8,7,Land acquisition delay,Delayed,16.7,Low
PRJ00062,Maharashtra Mining Infra Development Phase-62,Mining,Ministry of Mines,PowerGrid,Larsen & Toubro Infra,Maharashtra,1357.77,4284.54,215.56,True,2019-12-09,24,49,2021-11-28,2023-12-18,25,True,90.5,5.0,215.33,15.9,6,5,Poor contractor mobilization; Delay in tendering/equipment supply,Delayed,100.0,High
PRJ00063,Maharashtra Roads & Highways Infra Development Phase-63,Roads & Highways,Ministry of Road Transport & Highways,NTPC,Gammon India,Maharashtra,1607.6,4879.21,203.51,True,2017-11-05,36,48,2020-10-20,2021-10-15,12,True,86.2,7.3,356.99,22.2,6,5,Court cases/litigation,Delayed,100.0,High
PRJ00064,Maharashtra Healthcare Infrastructure Infra Development Phase-64,Healthcare Infrastructure,Ministry of Health & Family Welfare,NHPC,Ashoka Buildcon,Maharashtra,2254.5,2292.8,1.7,False,2018-08-30,72,72,2024-07-29,2024-07-29,0,False,91.4,52.2,1196.58,53.1,10,9,None,On Track,1.8,Low
PRJ00065,Maharashtra Civil Aviation Infra Development Phase-65,Civil Aviation,Ministry of Civil Aviation,IRCON,Shapoorji Pallonji Infra,Maharashtra,2072.77,6129.44,195.71,True,2020-06-16,60,99,2025-05-21,2028-08-03,39,True,57.4,8.9,547.23,26.4,8,5,Court cases/litigation,Delayed,100.0,High
PRJ00066,Maharashtra Renewable Energy Infra Development Phase-66,Renewable Energy,Ministry of New & Renewable Energy,IFFCO,GR Infraprojects,Maharashtra,1697.63,5357.41,215.58,True,2019-10-20,48,56,2023-09-29,2024-05-26,8,True,74.2,11.1,593.41,35.0,4,3,Poor contractor mobilization; Rehabilitation & resettlement issues,Delayed,100.0,High
PRJ00067,Maharashtra Civil Aviation Infra Development Phase-67,Civil Aviation,Ministry of Civil Aviation,Coal India Ltd,IRB Infrastructure,Maharashtra,400.15,3098.83,674.42,True,2018-10-28,72,96,2024-09-26,2026-09-16,24,True,68.2,10.3,320.7,80.1,6,4,Land acquisition delay; Funding constraints,Delayed,100.0,High
PRJ00068,Maharashtra Mining Infra Development Phase-68,Mining,Ministry of Mines,State PWD,GR Infraprojects,Maharashtra,1748.74,4476.62,155.99,True,2019-10-14,48,61,2023-09-23,2024-10-17,13,True,76.4,10.2,454.61,26.0,8,6,Change in project scope,Delayed,100.0,High
PRJ00069,Maharashtra Water Resources Infra Development Phase-69,Water Resources,Ministry of Jal Shakti,IRCON,GR Infraprojects,Maharashtra,1843.81,3844.28,108.5,True,2022-04-12,24,52,2024-04-01,2026-07-20,28,True,88.0,41.3,1588.09,86.1,6,5,COVID-19 related disruption,Delayed,100.0,High
PRJ00070,Maharashtra Irrigation Infra Development Phase-70,Irrigation,Ministry of Jal Shakti,RITES,Shapoorji Pallonji Infra,Maharashtra,6032.6,563.03,0.0,False,2019-07-22,48,48,2023-07-01,2023-07-01,0,False,100.0,100.0,1180.52,19.6,6,6,None,Completed,1.7,Low
PRJ00071,Maharashtra Roads & Highways Infra Development Phase-71,Roads & Highways,Ministry of Road Transport & Highways,IFFCO,Patel Engineering,Maharashtra,1576.18,1804.13,14.46,True,2019-03-03,36,58,2022-02-15,2023-12-07,22,True,85.1,54.8,989.28,62.8,10,9,Delay in tendering/equipment supply; Poor contractor mobilization,Delayed,32.0,Medium
PRJ00072,Maharashtra Ports & Shipping Infra Development Phase-72,Ports & Shipping,"Ministry of Ports, Shipping & Waterways",NBCC,NCC Limited,Maharashtra,2126.28,3221.41,51.5,True,2020-12-09,36,76,2023-11-24,2027-03-08,40,True,78.5,18.9,608.43,28.6,12,9,Utility shifting delay; Land acquisition delay,Delayed,72.5,High
PRJ00073,Maharashtra Inland Waterways Infra Development Phase-73,Inland Waterways,"Ministry of Ports, Shipping & Waterways",NBCC,Larsen & Toubro Infra,Maharashtra,3334.09,5057.12,51.68,True,2019-01-02,48,57,2022-12-12,2023-09-08,9,True,78.9,18.8,953.06,28.6,12,9,Forest/environment clearance delay; Monsoon/weather delays,Delayed,50.3,High
PRJ00074,Maharashtra Education Infrastructure Infra Development Phase-74,Education Infrastructure,Ministry of Education,State PWD,Larsen & Toubro Infra,Maharashtra,2727.93,792.24,0.0,False,2020-11-16,72,96,2026-10-16,2028-10-05,24,True,52.3,100.0,1665.87,61.1,8,4,Change in project scope; Geological surprises,Delayed,25.1,Medium
PRJ00075,Maharashtra Healthcare Infrastructure Infra Development Phase-75,Healthcare Infrastructure,Ministry of Health & Family Welfare,ONGC,GR Infraprojects,Maharashtra,3783.26,593.34,0.0,False,2019-11-10,60,66,2024-10-14,2025-04-12,6,True,74.8,93.7,556.16,14.7,4,3,Land acquisition delay; Delay in tendering/equipment supply,Delayed,12.1,Low
PRJ00076,Maharashtra Postal Infrastructure Infra Development Phase-76,Postal Infrastructure,Ministry of Communications,IFFCO,Shapoorji Pallonji Infra,Maharashtra,646.57,2065.87,219.51,True,2019-03-19,96,122,2027-02-05,2029-03-26,26,True,57.3,41.9,866.42,100.0,8,5,Funding constraints; Utility shifting delay,Delayed,100.0,High
PRJ00077,Maharashtra Mining Infra Development Phase-77,Mining,Ministry of Mines,Deendayal Port Trust,Larsen & Toubro Infra,Maharashtra,902.59,412.77,0.0,False,2020-07-09,60,60,2025-06-13,2025-06-13,0,False,89.4,100.0,2234.01,100.0,4,4,None,On Track,0.0,Low
PRJ00078,Maharashtra Steel Infra Development Phase-78,Steel,Ministry of Steel,HUDCO,GMR Infrastructure,Maharashtra,1229.56,2023.21,64.55,True,2020-06-20,24,43,2022-06-10,2024-01-01,19,True,70.0,65.6,1327.03,100.0,10,7,Price escalation of raw materials; Court cases/litigation,Delayed,65.8,High
PRJ00079,Maharashtra Steel Infra Development Phase-79,Steel,Ministry of Steel,NHPC,Shapoorji Pallonji Infra,Maharashtra,567.49,2654.5,367.76,True,2018-06-06,96,102,2026-04-25,2026-10-22,6,True,87.0,23.1,614.01,100.0,6,5,Price escalation of raw materials; Utility shifting delay,Delayed,100.0,High
PRJ00080,Maharashtra Power Infra Development Phase-80,Power,Ministry of Power,Deendayal Port Trust,Larsen & Toubro Infra,Maharashtra,1853.12,1128.32,0.0,False,2020-05-17,96,96,2028-04-05,2028-04-05,0,False,73.4,100.0,1266.94,68.4,10,7,None,On Track,1.9,Low
PRJ00081,Maharashtra Postal Infrastructure Infra Development Phase-81,Postal Infrastructure,Ministry of Communications,NHAI,Reliance Infrastructure,Maharashtra,952.76,2056.76,115.87,True,2020-05-29,48,57,2024-05-08,2025-02-02,9,True,76.4,13.5,277.71,29.1,8,6,Poor contractor mobilization,Delayed,96.4,High
PRJ00082,Maharashtra Healthcare Infrastructure Infra Development Phase-82,Healthcare Infrastructure,Ministry of Health & Family Welfare,Deendayal Port Trust,GR Infraprojects,Maharashtra,4054.51,3647.79,0.0,False,2020-08-12,48,65,2024-07-22,2025-12-14,17,True,72.9,23.2,845.51,20.9,10,7,COVID-19 related disruption; Utility shifting delay,Delayed,22.2,Low
